chr	pos	cd55off_mu	wt_mu	score	effect_size
chr1	228609665	0.775317103447386	0.196167486040022	42.042888292080875	0.579149617407364
chr1	228609801	0.775317103447386	0.196167486040022	42.042888292080875	0.579149617407364
chr1	228609823	0.775317103447386	0.196167486040022	41.904136616207175	0.579149617407364
chr1	228609781	0.775317103447386	0.196167486040022	41.904136616207175	0.579149617407364
other	14835	0.415590759384318	0.165709221806039	41.84824363364449	0.249881537578279
chr1	228609829	0.775317103447386	0.196167486040022	41.679031216458554	0.579149617407364
chr1	228609835	0.775317103447386	0.196167486040022	41.679031216458554	0.579149617407364
chr1	228609785	0.775317103447386	0.196167486040022	41.679031216458554	0.579149617407364
chr11	119094780	0.158516175743244	0.0249207324606664	41.45064248149414	0.133595443282577
chr1	207321778	0.441408868545494	0.0819471354095125	41.027013175421516	0.359461733135982
chr5	34245227	0.361166296273899	0.0910774261100395	41.00443217825011	0.27008887016386
chr12	122525844	0.201227747966614	0.038300021424507	40.706594089204856	0.162927726542107
chr1	207321611	0.454748995425072	0.0321225626541448	40.57552152088475	0.422626432770927
chr9	40591460	0.980067121720075	0.0370593117829877	40.04797442531329	0.943007809937087
